open_time,dt,close_time,symbol,interval,first_trade_id,last_trade_id,open,close,high,low,volume,number_of_trades,is_kline_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1.73569E+12,1/1/2025 0:00,1.74E+12,BNBUSDT,5m,0,0,702.31,702.6,702.79,701.46,396.748,1831,False,278584.6833,149.938,105289.563,0
1.73569E+12,1/1/2025 0:05,1.74E+12,BNBUSDT,5m,0,0,702.59,703.58,703.88,702.59,571.59,2454,False,401886.9249,309.468,217574.812,0
1.73569E+12,1/1/2025 0:10,1.74E+12,BNBUSDT,5m,0,0,703.59,704.01,704.13,703.32,269.668,1780,False,189773.5592,148.083,104209.6681,0
1.73569E+12,1/1/2025 0:15,1.74E+12,BNBUSDT,5m,0,0,704.01,704.25,704.5,703.99,210.385,1344,False,148171.791,111.328,78408.40222,0
1.73569E+12,1/1/2025 0:20,1.74E+12,BNBUSDT,5m,0,0,704.25,704.09,704.6,703.91,270.425,1365,False,190461.958,140.553,99001.31048,0
1.73569E+12,1/1/2025 0:25,1.74E+12,BNBUSDT,5m,0,0,704.09,704.63,704.64,703.99,166.492,971,False,117238.3377,104.479,73576.03385,0
1.73569E+12,1/1/2025 0:30,1.74E+12,BNBUSDT,5m,0,0,704.63,705.64,705.79,704.59,690.976,2235,False,487364.8529,376.588,265601.6542,0
1.73569E+12,1/1/2025 0:35,1.74E+12,BNBUSDT,5m,0,0,705.65,706.25,706.25,705.6,390.881,1622,False,275909.4896,253.604,179017.3412,0
1.73569E+12,1/1/2025 0:40,1.74E+12,BNBUSDT,5m,0,0,706.25,706.21,706.49,705.9,193.268,1649,False,136485.579,78.877,55703.25512,0
1.73569E+12,1/1/2025 0:45,1.74E+12,BNBUSDT,5m,0,0,706.21,706.53,706.84,706.11,388.419,1459,False,274400.4031,155.604,109915.3766,0
1.73569E+12,1/1/2025 0:50,1.74E+12,BNBUSDT,5m,0,0,706.52,706.85,707.1,706.42,300.139,1383,False,212154.9066,198.106,140032.4614,0
1.73569E+12,1/1/2025 0:55,1.74E+12,BNBUSDT,5m,0,0,706.85,709.12,711.5,705.9,5375.98,6014,False,3811464.572,4606.188,3265840.263,0
1.73569E+12,1/1/2025 1:00,1.74E+12,BNBUSDT,5m,0,0,709.11,707.57,709.19,707.4,384.346,1424,False,272155.0652,78.478,55598.90035,0
1.73569E+12,1/1/2025 1:05,1.74E+12,BNBUSDT,5m,0,0,707.58,708.79,708.8,707.12,321.896,1445,False,227807.5848,178.139,126087.7951,0
1.73569E+12,1/1/2025 1:10,1.74E+12,BNBUSDT,5m,0,0,708.79,708.8,709.25,708.71,282.592,1213,False,200341.1134,153.427,108760.313,0
1.73569E+12,1/1/2025 1:15,1.74E+12,BNBUSDT,5m,0,0,708.8,708.07,708.8,707.6,298.547,1927,False,211409.6328,108.781,77009.82599,0
1.73569E+12,1/1/2025 1:20,1.74E+12,BNBUSDT,5m,0,0,708.08,708.04,708.55,707.64,571.916,1879,False,405053.0878,407.587,288679.2552,0
1.73569E+12,1/1/2025 1:25,1.74E+12,BNBUSDT,5m,0,0,708.04,708.1,708.4,708.03,362.114,737,False,256446.4917,142.545,100953.9817,0
1.7357E+12,1/1/2025 1:30,1.74E+12,BNBUSDT,5m,0,0,708.11,709.83,709.84,708.03,631.291,1976,False,447566.8154,448.073,317623.1844,0
1.7357E+12,1/1/2025 1:35,1.74E+12,BNBUSDT,5m,0,0,709.83,710.43,710.72,709.63,1093.147,1397,False,776336.7755,359.713,255449.4547,0
1.7357E+12,1/1/2025 1:40,1.74E+12,BNBUSDT,5m,0,0,710.43,709.99,710.84,709.98,826.569,1316,False,587242.6028,327.824,232903.3195,0
1.7357E+12,1/1/2025 1:45,1.74E+12,BNBUSDT,5m,0,0,709.99,710.8,710.81,709.76,1453.116,2217,False,1032476.654,993.526,705934.0906,0
1.7357E+12,1/1/2025 1:50,1.74E+12,BNBUSDT,5m,0,0,710.8,708.45,710.8,708.2,711.846,2689,False,504938.9552,312.969,221908.5819,0
1.7357E+12,1/1/2025 1:55,1.74E+12,BNBUSDT,5m,0,0,708.45,708.35,708.8,708.27,193.692,950,False,137233.2687,57.307,40602.28108,0
1.7357E+12,1/1/2025 2:00,1.74E+12,BNBUSDT,5m,0,0,708.35,708.81,709.2,708.35,225.512,1673,False,159843.6139,129.256,91608.68295,0
